type	latitude	longitude	altitude (m)	name	desc
T	-22.526408912	-43.151870411	1054.8		
T	-22.526122814	-43.152071622	1063.9		
T	-22.525913148	-43.152139304	1084.7		
T	-22.525635067	-43.152170611	1108.1		
T	-22.525271610	-43.152117028	1110.2		
T	-22.524959220	-43.152047592	1104.6		
T	-22.524724740	-43.152039491	1098.0		
T	-22.524344243	-43.152111223	1105.1		
T	-22.524129219	-43.152157429	1108.5		
T	-22.523832826	-43.152138912	1111.9		
T	-22.523530562	-43.152106861	1108.2		
T	-22.523302049	-43.152117017	1108.5		
T	-22.523072253	-43.152178136	1103.8		
T	-22.522843592	-43.152188305	1106.8		
T	-22.522562396	-43.152211894	1116.6		
T	-22.522338999	-43.152289800	1120.4		
T	-22.522118095	-43.152318694	1130.7		
T	-22.521853846	-43.152381220	1146.1		
T	-22.521587898	-43.152438365	1155.4		
T	-22.521367548	-43.152411165	1159.6		
T	-22.521077086	-43.152411555	1158.6		
T	-22.520833962	-43.152333803	1155.0		
T	-22.520590438	-43.152255922	1153.0		
T	-22.520346512	-43.152177916	1153.6		
T	-22.520038826	-43.152144934	1147.0		
T	-22.519794410	-43.152067556	1142.7		
T	-22.519544914	-43.152036368	1137.6		
T	-22.519231958	-43.151997067	1134.2		
T	-22.519006621	-43.152016122	1134.8		
T	-22.518739233	-43.152011926	1140.6		
T	-22.518583502	-43.152051677	1145.6		
T	-22.518428043	-43.152091354	1152.8		
T	-22.518169511	-43.152157348	1168.1		
T	-22.517911685	-43.152223156	1184.3		
T	-22.517669217	-43.152258956	1200.4		
T	-22.517388413	-43.152385291	1236.7		
T	-22.517178562	-43.152371031	1260.3		
T	-22.516943837	-43.152470659	1290.1		
T	-22.516743351	-43.152470415	1305.1		
T	-22.516540305	-43.152521075	1315.0		
T	-22.516298398	-43.152448778	1308.8		
T	-22.515932212	-43.152419465	1296.4		
T	-22.515683474	-43.152336995	1286.8		
T	-22.515442957	-43.152325313	1280.5		
T	-22.515185534	-43.152229876	1269.2		
T	-22.514811399	-43.152192522	1265.2		
T	-22.514470325	-43.152059477	1249.0		
T	-22.514134955	-43.151994483	1236.1		
T	-22.513838040	-43.151842737	1222.6		
T	-22.513483437	-43.151752262	1204.5		
T	-22.513265063	-43.151781416	1201.5		
T	-22.512961846	-43.151713417	1203.2		
T	-22.512688598	-43.151748291	1207.5		
T	-22.512456845	-43.151756770	1206.4		
T	-22.512123619	-43.151704640	1198.1		
T	-22.511816727	-43.151691290	1192.5		
T	-22.511629887	-43.151679888	1189.2		
T	-22.511291475	-43.151623869	1178.1		
T	-22.510943859	-43.151556332	1166.0		
T	-22.510607783	-43.151506661	1152.0		
T	-22.510270467	-43.151456809	1136.5		
T	-22.509999726	-43.151416794	1125.2		
T	-22.509620717	-43.151394405	1114.6		
T	-22.509279097	-43.151342753	1110.2		
T	-22.508902106	-43.151325654	1103.1		
T	-22.508640235	-43.151301187	1094.6		
T	-22.508358275	-43.151252071	1086.3		
T	-22.507989033	-43.151170469	1071.4		
T	-22.507621474	-43.151093136	1055.4		
T	-22.507324913	-43.151029840	1042.7		
T	-22.507085941	-43.151098249	1037.7		
T	-22.506832347	-43.151089124	1038.1		
T	-22.506603055	-43.151169525	1041.1		
T	-22.506437861	-43.151192863	1045.8		
T	-22.506172672	-43.151303538	1052.1		
T	-22.505969753	-43.151354628	1057.8		
T	-22.505672444	-43.151366668	1062.3		
T	-22.505303880	-43.151357077	1050.5		
T	-22.504948911	-43.151364967	1038.8		
T	-22.504573067	-43.151290296	1026.6		
T	-22.504195323	-43.151215242	1015.6		
T	-22.503939261	-43.151207932	1010.4		
T	-22.503640286	-43.151221541	1008.6		
T	-22.503399939	-43.151292894	1009.0		
T	-22.503146917	-43.151289038	1006.4		
T	-22.502896969	-43.151349991	1003.5		
T	-22.502660587	-43.151298042	997.0		
T	-22.501692839	-43.151143337	974.1		
T	-22.501447372	-43.151275889	974.2		
T	-22.501085548	-43.151163885	958.8		
T	-22.500608646	-43.151000865	941.2		
T	-22.500178593	-43.150887910	909.5		
T	-22.499860985	-43.150826078	887.1		
T	-22.499495728	-43.150780893	870.5		
T	-22.499129232	-43.150735555	849.5		
T	-22.498765318	-43.150693710	835.8		
T	-22.498534538	-43.150657138	828.6		
T	-22.498623487	-43.151999460	847.0		
T	-22.498750215	-43.152309223	866.1		
T	-22.498874053	-43.152615910	879.3		
T	-22.498892252	-43.152821154	882.1		
T	-22.498994449	-43.153107222	892.3		
T	-22.499079527	-43.153560437	910.1		
T	-22.499191342	-43.153974892	929.4		
T	-22.499315497	-43.154397779	946.0		
T	-22.499461180	-43.154900523	983.9		
T	-22.499611637	-43.155404648	1014.8		
T	-22.499666510	-43.155762124	1014.2		
T	-22.499629664	-43.156041148	1003.1		
T	-22.499554043	-43.156350745	985.3		
T	-22.499403839	-43.156591144	964.7		
T	-22.499341519	-43.156790208	948.8		
T	-22.499299420	-43.156944109	934.9		
T	-22.499184187	-43.157279911	912.2		
T	-22.499149404	-43.157630168	906.5		
T	-22.499157697	-43.158015779	903.6		
T	-22.499181069	-43.158286506	893.7		
T	-22.499139144	-43.158633235	879.1		
T	-22.499170829	-43.158861180	873.7		
T	-22.499155382	-43.159039765	873.3		
T	-22.499170101	-43.159304563	875.6		
T	-22.499216737	-43.159593460	882.6		
T	-22.499282083	-43.160085116	891.0		
T	-22.499262539	-43.160388002	886.5		
T	-22.499259389	-43.160766763	879.4		
T	-22.499233496	-43.161065954	870.1		
T	-22.499299845	-43.161257857	867.3		
T	-22.499272037	-43.161557011	856.7		
T	-22.499312162	-43.161922239	847.8		
T	-22.499278725	-43.162283039	835.5		
T	-22.499323293	-43.162588929	826.5		
T	-22.499291788	-43.162888381	816.5		
T	-22.499285476	-43.163205250	807.5		
T	-22.499281073	-43.163588007	800.9		
