type	latitude	longitude	altitude (m)	name	desc
T	-22.511524791	-43.180452181	835.0		
T	-22.511538683	-43.180712812	840.5		
T	-22.511586976	-43.181046545	853.2		
T	-22.511638398	-43.181380558	862.7		
T	-22.511664446	-43.181707358	863.9		
T	-22.511774529	-43.182035940	876.6		
T	-22.511806618	-43.182364003	882.5		
T	-22.511814787	-43.182685634	878.0		
T	-22.511798633	-43.183067460	861.8		
T	-22.511704448	-43.183501545	841.1		
T	-22.511724763	-43.183957219	833.2		
T	-22.511752161	-43.184478637	847.2		
T	-22.511870270	-43.185010177	865.3		
T	-22.511944292	-43.185340779	883.0		
T	-22.512024639	-43.185863149	900.0		
T	-22.512085054	-43.186510656	909.0		
T	-22.512076721	-43.186961630	901.3		
T	-22.512030079	-43.187412729	878.6		
T	-22.512020635	-43.187931288	870.4		
T	-22.512022051	-43.188255972	866.3		
T	-22.512026608	-43.188645997	862.3		
T	-22.512031737	-43.188971276	858.1		
T	-22.512042141	-43.189296690	853.5		
T	-22.512052522	-43.189556999	853.6		
T	-22.512069363	-43.189881922	858.6		
T	-22.512086973	-43.190206634	861.7		
T	-22.512112141	-43.190661238	861.0		
T	-22.512140942	-43.191115950	858.5		
T	-22.512171584	-43.191504078	858.6		
T	-22.512198077	-43.191761870	862.1		
T	-22.512287322	-43.192269841	882.4		
T	-22.512359210	-43.192712972	890.1		
T	-22.512336629	-43.193241086	884.8		
T	-22.512332975	-43.193307095	883.4		
T	-22.512336976	-43.193896347	869.7		
T	-22.512349233	-43.194155704	864.2		
T	-22.512301563	-43.194616149	855.3		
T	-22.512281437	-43.194818727	848.9		
T	-22.512219761	-43.195166503	836.6		
T	-22.512224947	-43.195429580	831.4		
T	-22.512275951	-43.196008742	834.8		
T	-22.512299642	-43.196463873	838.4		
T	-22.512309384	-43.196791787	838.2		
T	-22.512330717	-43.197115492	839.8		
T	-22.512348779	-43.197373989	841.9		
T	-22.512378331	-43.197694074	844.9		
T	-22.512317592	-43.198029703	841.4		
T	-22.512332864	-43.198621841	837.4		
T	-22.512335409	-43.198687252	838.1		
T	-22.512373460	-43.199135894	847.5		
T	-22.512444822	-43.199501655	860.1		
T	-22.512501867	-43.199740307	868.3		
T	-22.512552747	-43.200113624	872.3		
T	-22.512480858	-43.200548921	861.6		
T	-22.512407554	-43.200826506	855.1		
T	-22.512474399	-43.201324753	861.9		
T	-22.512487114	-43.201784804	867.7		
T	-22.512465639	-43.202198104	847.9		
T	-22.512401173	-43.202740645	838.1		
T	-22.512437926	-43.203189041	842.1		
T	-22.512406249	-43.203510089	843.8		
T	-22.512453696	-43.203949617	847.7		
T	-22.512476684	-43.204337154	852.7		
T	-22.512544186	-43.205030032	861.7		
T	-22.512544329	-43.205528474	874.5		
T	-22.512534160	-43.206275765	874.5		
T	-22.512549004	-43.207006454	856.0		
T	-22.512493829	-43.207546993	853.8		
T	-22.512445621	-43.208150475	853.0		
T	-22.512454688	-43.208413999	853.0		
T	-22.512439268	-43.209058478	853.1		
T	-22.512447947	-43.209254865	856.1		
T	-22.512413431	-43.209643775	862.3		
T	-22.512366043	-43.209908059	865.7		
T	-22.512372729	-43.210327545	875.2		
T	-22.512387472	-43.210669473	882.6		
T	-22.512323282	-43.211302080	877.8		
T	-22.512213178	-43.211897871	865.9		
T	-22.512156381	-43.212034716	863.7		
T	-22.512129072	-43.212483486	864.6		
T	-22.512148416	-43.212668604	868.1		
T	-22.512114618	-43.212918795	873.8		
T	-22.512121746	-43.213252287	880.2		
T	-22.512058569	-43.213531922	877.1		
T	-22.512023841	-43.213909465	858.3		
T	-22.511941397	-43.214211398	848.2		
T	-22.511943121	-43.214552347	844.6		
T	-22.511900019	-43.214812434	845.8		
T	-22.511966712	-43.215289358	855.7		
T	-22.512000192	-43.215458522	859.1		
T	-22.512002984	-43.215667211	864.0		
T	-22.512015842	-43.215926555	866.9		
T	-22.511970774	-43.216595125	856.4		
T	-22.511901500	-43.216884813	850.6		
T	-22.511912138	-43.217148185	847.9		
T	-22.511930298	-43.217402636	847.2		
T	-22.511948446	-43.217656974	848.1		
T	-22.511963614	-43.217914757	848.8		
T	-22.511932768	-43.218435092	851.5		
T	-22.511903802	-43.218815349	857.4		
T	-22.511942689	-43.219250763	862.0		
T	-22.511988468	-43.219675923	866.8		
T	-22.512063549	-43.220270595	871.8		
T	-22.511999737	-43.220831903	870.0		
T	-22.511928207	-43.221197227	864.8		
T	-22.511902151	-43.221710468	866.4		
T	-22.511912341	-43.221904283	865.7		
T	-22.511909616	-43.222394227	855.3		
T	-22.511908722	-43.222673107	850.3		
T	-22.511869725	-43.223134716	853.6		
T	-22.511821310	-43.223539918	857.3		
T	-22.511833940	-43.223800785	858.4		
T	-22.511848335	-43.224059078	860.1		
T	-22.511820106	-43.224505187	865.4		
T	-22.511849612	-43.224810840	870.3		
T	-22.511860837	-43.225336935	883.0		
T	-22.511841099	-43.225559826	890.5		
T	-22.511922157	-43.225925631	905.2		
T	-22.511972198	-43.226127540	917.6		
T	-22.511962078	-43.226334081	930.4		
T	-22.512046978	-43.226757651	948.6		
T	-22.512049936	-43.227079945	959.3		
T	-22.512088089	-43.227296820	965.8		
T	-22.512115840	-43.227529974	974.1		
T	-22.512140051	-43.227906528	975.7		
T	-22.512136687	-43.228327551	967.4		
T	-22.512113942	-43.228781018	962.8		
T	-22.512128098	-43.229105748	960.8		
T	-22.512132184	-43.229586112	954.7		
T	-22.512107598	-43.230046087	939.3		
T	-22.512048515	-43.230566151	904.0		
T	-22.512002731	-43.231137005	885.8		
T	-22.512011160	-43.231474861	885.9		
T	-22.512039709	-43.231776851	893.1		
T	-22.512101739	-43.232090202	903.7		
T	-22.512137650	-43.232378046	912.6		
T	-22.512173337	-43.232736159	917.1		
T	-22.512197042	-43.233115567	920.7		
T	-22.512238450	-43.233391980	930.1		
T	-22.512275656	-43.233605314	938.6		
T	-22.512070441	-43.233771903	948.4		
T	-22.511790042	-43.233761035	952.5		
T	-22.511484824	-43.233725299	955.7		
T	-22.511147730	-43.233675188	956.1		
T	-22.510820358	-43.233536276	955.4		
T	-22.510685155	-43.233362315	955.2		
T	-22.510611374	-43.233180205	955.3		
T	-22.510656621	-43.232850621	951.2		
T	-22.510634632	-43.232538216	938.1		
T	-22.510780054	-43.232373081	933.7		
T	-22.510919160	-43.232148257	928.4		
T	-22.511061847	-43.231917873	923.2		
T	-22.511046789	-43.231732761	920.1		
T	-22.511079075	-43.231423809	910.4		
T	-22.511030242	-43.231084680	902.0		
T	-22.510991800	-43.230867495	899.5		
T	-22.510985915	-43.230666551	898.4		
T	-22.510986325	-43.230384451	905.7		
T	-22.511086279	-43.230036128	928.3		
T	-22.511224418	-43.229254910	969.4		
T	-22.511173739	-43.228759456	983.3		
T	-22.511200547	-43.228509359	989.6		
T	-22.511199861	-43.228233672	991.6		
T	-22.511130204	-43.227788484	984.5		
T	-22.511088484	-43.227506209	976.3		
T	-22.510964439	-43.227054791	962.3		
T	-22.510952797	-43.226864428	957.3		
T	-22.510913097	-43.226438627	946.8		
T	-22.510833034	-43.225863708	930.1		
T	-22.510772287	-43.225535385	921.3		
T	-22.510729433	-43.225111225	907.0		
T	-22.510629887	-43.224626821	892.5		
T	-22.510578092	-43.224212463	885.4		
T	-22.510502751	-43.224029057	885.7		
T	-22.510457577	-43.223535068	886.0		
T	-22.510455210	-43.223468823	885.9		
T	-22.510451711	-43.223126808	884.0		
T	-22.510422438	-43.222749200	883.5		
T	-22.510504195	-43.222094603	891.0		
T	-22.510559588	-43.221540975	911.9		
T	-22.510577757	-43.221105684	919.7		
T	-22.510602094	-43.220800585	931.5		
T	-22.510615718	-43.220372254	944.1		
T	-22.510649999	-43.220057693	942.6		
T	-22.510665060	-43.219561126	936.5		
T	-22.510638319	-43.219318820	933.6		
T	-22.510648335	-43.218963278	923.8		
T	-22.510620933	-43.218721649	919.2		
T	-22.510623950	-43.218372781	911.4		
T	-22.510643408	-43.218072729	906.5		
T	-22.510662837	-43.217776977	899.7		
T	-22.510678851	-43.217548852	898.1		
T	-22.510740989	-43.216995136	903.0		
T	-22.510748678	-43.216781500	908.9		
T	-22.510815354	-43.216224983	914.7		
T	-22.510827158	-43.215727595	907.8		
T	-22.510813924	-43.215323602	887.8		
T	-22.510824015	-43.215029256	873.7		
T	-22.510759208	-43.214687410	867.0		
T	-22.510691039	-43.214345782	854.4		
T	-22.510731874	-43.214087595	844.9		
T	-22.510677103	-43.213457924	841.8		
T	-22.510689244	-43.213021972	834.6		
T	-22.510642827	-43.212655295	830.9		
T	-22.510678031	-43.212264769	829.6		
T	-22.510665630	-43.212002694	828.1		
T	-22.510643783	-43.211544301	828.9		
T	-22.510685479	-43.211079604	831.6		
T	-22.510679478	-43.210743769	832.1		
T	-22.510673481	-43.210408197	833.0		
T	-22.510714170	-43.209808607	838.4		
T	-22.510749213	-43.209485839	841.5		
T	-22.510697425	-43.208916904	838.0		
T	-22.510686101	-43.208720991	835.9		
T	-22.510725134	-43.208258416	831.5		
T	-22.510781465	-43.208054352	826.5		
T	-22.510761968	-43.207662508	824.7		
T	-22.510729520	-43.207144456	830.0		
T	-22.510780362	-43.206809073	837.5		
T	-22.510828016	-43.206340608	843.4		
T	-22.510819803	-43.206143672	845.4		
T	-22.510856756	-43.205683718	844.9		
T	-22.510894812	-43.205356478	837.0		
T	-22.510932343	-43.204963291	829.6		
T	-22.510920283	-43.204701426	829.9		
T	-22.510908119	-43.204304677	830.9		
T	-22.510949161	-43.203975795	830.0		
T	-22.510985418	-43.203583451	826.5		
T	-22.510981918	-43.203248726	826.7		
T	-22.511081374	-43.202752376	833.8		
T	-22.511131923	-43.202285225	843.6		
T	-22.511090842	-43.201839306	836.7		
T	-22.511025636	-43.201405336	828.8		
T	-22.511046473	-43.201153672	826.7		
T	-22.511083200	-43.200760308	824.1		
T	-22.511056831	-43.200371538	823.3		
T	-22.511049691	-43.199973425	822.7		
T	-22.511035238	-43.199645858	820.2		
T	-22.511007870	-43.199323612	818.9		
T	-22.511058457	-43.198990110	822.1		
T	-22.511096808	-43.198640933	832.1		
T	-22.511174184	-43.198210589	855.2		
T	-22.511258547	-43.197867113	863.5		
T	-22.511237572	-43.197478094	873.0		
T	-22.511236475	-43.197148288	871.6		
T	-22.511188598	-43.196636778	868.7		
T	-22.511150554	-43.196121687	858.8		
T	-22.511036354	-43.195761454	843.7		
T	-22.510961202	-43.195452297	832.6		
T	-22.510981125	-43.194983414	835.7		
T	-22.511013346	-43.194446777	845.2		
T	-22.510988215	-43.194189306	852.8		
T	-22.511010655	-43.193657792	870.2		
T	-22.511117708	-43.193381173	884.5		
T	-22.511133026	-43.193116645	894.7		
T	-22.511094890	-43.192731668	894.1		
T	-22.511036254	-43.192415384	881.4		
T	-22.511004577	-43.192224570	870.7		
T	-22.510960723	-43.191968992	856.4		
T	-22.510911292	-43.191451690	851.6		
T	-22.510953497	-43.191057077	861.6		
T	-22.510993453	-43.190660272	862.5		
T	-22.510985415	-43.190269646	858.9		
T	-22.510902743	-43.189819289	846.7		
T	-22.510842891	-43.189496609	838.4		
T	-22.510804800	-43.189171964	834.0		
T	-22.510784107	-43.188846030	832.3		
T	-22.510839273	-43.188320381	836.5		
T	-22.510846282	-43.188059140	844.0		
T	-22.510873451	-43.187733501	856.0		
T	-22.510900548	-43.187473649	868.4		
T	-22.510931710	-43.187214733	879.7		
T	-22.510944045	-43.186633853	895.8		
T	-22.510891089	-43.186178236	890.4		
T	-22.510809357	-43.185849424	873.5		
T	-22.510733480	-43.185454073	849.3		
T	-22.510674287	-43.184994312	833.6		
T	-22.510672888	-43.184529404	833.7		
T	-22.510654484	-43.184267736	831.5		
T	-22.510637679	-43.184005834	826.3		
T	-22.510620877	-43.183743858	823.0		
T	-22.510597068	-43.183221486	825.0		
T	-22.510573557	-43.182699714	824.8		
T	-22.510549406	-43.182241151	825.0		
T	-22.510528914	-43.181848909	829.7		
T	-22.510519386	-43.181395396	834.5		
T	-22.510534206	-43.181205397	839.9		
T	-22.510564943	-43.180891616	851.6		
T	-22.510576450	-43.180316957	867.4		
T	-22.510637086	-43.180057516	861.6		
T	-22.510593290	-43.179595961	852.4		
T	-22.510587286	-43.179401971	848.1		
T	-22.510524739	-43.178805364	842.3		
T	-22.510504193	-43.178542074	839.2		
T	-22.510432815	-43.178132283	840.9		
T	-22.510404827	-43.177801340	833.6		
T	-22.510366646	-43.177210196	824.6		
T	-22.510347709	-43.176946523	823.5		
T	-22.510319281	-43.176550752	824.8		
T	-22.510296772	-43.176221266	825.4		
T	-22.510276969	-43.175829097	822.0		
T	-22.510268604	-43.175377627	822.2		
T	-22.510268747	-43.175186385	824.9		
T	-22.510292189	-43.174751679	837.7		
T	-22.510287548	-43.174494801	845.9		
T	-22.510325758	-43.174133594	860.7		
T	-22.510357040	-43.173833365	870.5		
T	-22.510384417	-43.173468823	880.9		
T	-22.510451832	-43.173091494	889.3		
T	-22.510437742	-43.172580267	891.6		
T	-22.510366577	-43.172035933	871.6		
T	-22.510317379	-43.171628488	859.5		
T	-22.510281437	-43.171291943	854.2		
T	-22.510281181	-43.170872748	846.9		
T	-22.510137680	-43.170212232	823.9		
T	-22.510118160	-43.169883544	820.8		
T	-22.510109782	-43.169499027	824.2		
T	-22.510125564	-43.169194618	830.8		
T	-22.510172186	-43.168912717	843.9		
T	-22.510204503	-43.168621911	862.7		
T	-22.510300114	-43.168269118	877.8		
T	-22.510302173	-43.167958329	879.2		
T	-22.510205416	-43.167323800	866.1		
T	-22.510103374	-43.166744345	854.2		
T	-22.510179222	-43.166128593	866.2		
T	-22.510203166	-43.165339263	880.4		
T	-22.510254840	-43.164947922	897.8		
T	-22.510244136	-43.164628568	908.7		
T	-22.510343485	-43.164351694	915.3		
T	-22.510379386	-43.163890520	936.3		
T	-22.510407799	-43.163609101	953.1		
T	-22.510455071	-43.163284944	969.5		
T	-22.510469652	-43.163114941	976.9		
T	-22.510493102	-43.162770819	996.2		
T	-22.510527829	-43.162135221	1010.7		
T	-22.510527641	-43.161891499	1009.9		
T	-22.510544275	-43.161482660	1021.2		
T	-22.510575715	-43.161029420	1038.6		
T	-22.510586032	-43.160918984	1042.6		
T	-22.510594283	-43.160444787	1060.3		
T	-22.510611210	-43.160161433	1067.1		
T	-22.510636469	-43.159887356	1077.2		
T	-22.510654696	-43.159606567	1087.4		
T	-22.510671542	-43.159265476	1099.6		
T	-22.510684309	-43.159040230	1110.4		
T	-22.510723801	-43.158606428	1131.4		
T	-22.510712084	-43.158414980	1134.3		
T	-22.510711110	-43.158056886	1139.8		
T	-22.510719903	-43.157829739	1144.3		
T	-22.510732879	-43.157429256	1152.7		
T	-22.510693441	-43.156909573	1148.7		
T	-22.510664354	-43.156520397	1139.5		
T	-22.510611917	-43.156161800	1130.6		
T	-22.510525549	-43.155702026	1122.7		
T	-22.510439597	-43.155434134	1119.6		
T	-22.510456247	-43.155157847	1122.5		
T	-22.510395424	-43.154980131	1121.7		
T	-22.510403284	-43.154634682	1121.4		
T	-22.510287939	-43.154329704	1111.8		
T	-22.510160456	-43.153949382	1104.8		
T	-22.510101466	-43.153773828	1103.5		
T	-22.509959263	-43.153451092	1097.5		
T	-22.509769954	-43.153068269	1087.7		
T	-22.509586251	-43.152751478	1077.0		
T	-22.509333194	-43.152501322	1067.8		
T	-22.509175222	-43.152354430	1069.5		
T	-22.508960830	-43.152433698	1061.8		
T	-22.508856361	-43.152797337	1051.0		
T	-22.508811884	-43.153296700	1049.4		
T	-22.508868635	-43.153784845	1062.2		
T	-22.508899331	-43.154061253	1067.8		
T	-22.508892938	-43.154292753	1070.5		
T	-22.508951546	-43.154602495	1074.1		
T	-22.508975479	-43.154989053	1077.1		
T	-22.509061234	-43.155448190	1090.9		
T	-22.509106237	-43.155798444	1100.2		
T	-22.509115685	-43.156168321	1096.0		
T	-22.509089081	-43.156497530	1088.0		
T	-22.509085516	-43.156853611	1078.9		
T	-22.509070444	-43.157137306	1070.8		
T	-22.509063924	-43.157551557	1057.4		
T	-22.509055864	-43.158025261	1044.0		
T	-22.509069546	-43.158643531	1043.4		
T	-22.509163487	-43.159100721	1045.5		
T	-22.509166402	-43.159405933	1037.2		
T	-22.509137659	-43.159801594	1025.4		
T	-22.509104700	-43.160194256	1007.7		
T	-22.509059087	-43.160698174	978.9		
T	-22.509001183	-43.161255092	958.9		
T	-22.508978637	-43.161479611	952.2		
T	-22.508977759	-43.161971065	940.3		
T	-22.509028648	-43.162452938	927.0		
T	-22.509010255	-43.162683407	920.8		
T	-22.508996863	-43.163104812	910.8		
T	-22.508976643	-43.163459139	901.9		
T	-22.508971017	-43.163764827	892.5		
T	-22.508959583	-43.164191048	884.1		
T	-22.508944184	-43.164676550	873.9		
T	-22.508933369	-43.165042669	867.1		
T	-22.508927386	-43.165538406	853.1		
T	-22.508940097	-43.165987018	847.6		
T	-22.508959955	-43.166630027	838.6		
T	-22.508975926	-43.167144980	837.6		
T	-22.509025688	-43.167684402	843.2		
T	-22.509055703	-43.168083394	847.5		
T	-22.509047329	-43.168392690	843.8		
T	-22.509021800	-43.169006568	833.2		
T	-22.509033512	-43.169393627	832.0		
T	-22.509055571	-43.169788052	829.3		
T	-22.509079523	-43.170183446	827.4		
T	-22.509099473	-43.170512837	828.1		
T	-22.509113226	-43.170837913	829.7		
T	-22.509130917	-43.171166196	832.5		
T	-22.509154128	-43.171624668	829.4		
T	-22.509160115	-43.171755144	828.9		
T	-22.509246472	-43.172020477	833.3		
T	-22.509273808	-43.172290417	833.9		
T	-22.509314183	-43.172630420	833.0		
T	-22.509317478	-43.173204098	829.5		
T	-22.509311287	-43.173646781	829.1		
T	-22.509325861	-43.174164536	822.5		
T	-22.509336224	-43.174488724	818.7		
T	-22.509356208	-43.174881681	815.6		
T	-22.509366201	-43.175078158	815.8		
T	-22.509380774	-43.175532659	819.8		
T	-22.509393842	-43.175858631	823.3		
T	-22.509408380	-43.176121332	828.0		
T	-22.509438593	-43.176454388	832.3		
T	-22.509474953	-43.176789542	834.7		
T	-22.509546616	-43.177201999	838.9		
T	-22.509622742	-43.177550919	841.5		
T	-22.509677365	-43.178082250	854.3		
T	-22.509713928	-43.178542318	861.1		
T	-22.509738354	-43.179062061	872.3		
T	-22.509757413	-43.179644108	871.3		
T	-22.509736601	-43.180344301	858.5		
T	-22.509706606	-43.180787002	842.9		
T	-22.509688323	-43.181105189	832.2		
T	-22.509693011	-43.181494245	822.6		
T	-22.509649409	-43.182018820	819.0		
T	-22.509678195	-43.182607692	820.2		
T	-22.509687791	-43.182803979	820.7		
T	-22.509706984	-43.183196574	821.5		
T	-22.509719465	-43.183458351	827.5		
T	-22.509685807	-43.183790553	837.2		
T	-22.509711829	-43.184053971	842.0		
T	-22.509741953	-43.184317822	842.7		
T	-22.509786729	-43.184583057	845.3		
T	-22.509775037	-43.184851519	852.6		
T	-22.509832328	-43.185181492	858.9		
T	-22.509889984	-43.185510446	866.8		
T	-22.509928680	-43.185901975	878.8		
T	-22.509954440	-43.186162680	879.8		
T	-22.509849333	-43.186552558	871.8		
T	-22.509870171	-43.186942785	867.6		
T	-22.509801405	-43.187596158	853.7		
T	-22.509684043	-43.188122073	840.9		
T	-22.509625015	-43.188583675	827.1		
T	-22.509581814	-43.188979708	826.8		
T	-22.509542607	-43.189375553	834.7		
T	-22.509571293	-43.189832347	849.5		
T	-22.509568463	-43.190223975	861.5		
T	-22.509532589	-43.190814493	864.1		
T	-22.509570080	-43.191465556	864.5		
T	-22.509512851	-43.192125252	849.9		
T	-22.509420119	-43.192858642	834.4		
T	-22.509474341	-43.193310003	838.8		
T	-22.509443363	-43.193637499	841.9		
T	-22.509478420	-43.194025905	839.6		
T	-22.509408306	-43.194428035	834.3		
T	-22.509347637	-43.194840064	828.3		
T	-22.509357931	-43.195169161	823.6		
T	-22.509334276	-43.195694082	820.9		
T	-22.509340260	-43.196024333	820.6		
T	-22.509356853	-43.196285349	819.9		
T	-22.509373438	-43.196546300	820.8		
T	-22.509391955	-43.196873117	823.8		
T	-22.509403626	-43.197135666	826.5		
T	-22.509442205	-43.197721600	830.3		
T	-22.509473286	-43.198110530	835.9		
T	-22.509507726	-43.198430933	838.2		
T	-22.509558075	-43.198744218	844.4		
T	-22.509653182	-43.199238098	857.0		
T	-22.509688724	-43.199422664	857.4		
T	-22.509672277	-43.199962028	865.3		
T	-22.509692086	-43.200462232	867.0		
T	-22.509721362	-43.200781526	870.9		
T	-22.509721040	-43.201048121	872.8		
T	-22.509737150	-43.201573427	875.7		
T	-22.509809608	-43.202069895	881.4		
T	-22.509867921	-43.202572045	887.5		
T	-22.509861100	-43.202976149	882.8		
T	-22.509857075	-43.203379395	868.1		
T	-22.509828101	-43.203596587	864.2		
T	-22.509811464	-43.204075851	853.3		
T	-22.509818802	-43.204541394	842.9		
T	-22.509804454	-43.204819479	843.4		
T	-22.509789335	-43.205098496	841.5		
T	-22.509841849	-43.205671499	841.5		
T	-22.509835687	-43.205945598	841.1		
T	-22.509821737	-43.206563216	831.5		
T	-22.509782343	-43.206890880	829.3		
T	-22.509811121	-43.207277019	833.7		
T	-22.509832790	-43.207532393	841.4		
T	-22.509894918	-43.207825747	847.4		
T	-22.509915082	-43.208081545	848.5		
T	-22.509929027	-43.208341907	851.0		
T	-22.509886248	-43.208671015	858.4		
T	-22.509910652	-43.209126557	860.8		
T	-22.509868685	-43.209523078	858.6		
T	-22.509883717	-43.209918239	851.5		
T	-22.509834684	-43.210320035	845.2		
T	-22.509826237	-43.210735341	842.9		
T	-22.509813412	-43.211087159	839.3		
T	-22.509763191	-43.211423076	832.7		
T	-22.509779436	-43.211750210	829.7		
T	-22.509679698	-43.212285749	834.5		
T	-22.509723518	-43.212861511	840.6		
T	-22.509676096	-43.213058607	842.7		
T	-22.509642290	-43.213311434	846.3		
T	-22.509683462	-43.213546514	850.5		
T	-22.509724933	-43.213780745	856.9		
T	-22.509711316	-43.214081612	864.6		
T	-22.509664814	-43.214345372	868.0		
T	-22.509646623	-43.214854496	880.9		
T	-22.509604111	-43.215045691	887.9		
T	-22.509726762	-43.215400862	902.5		
T	-22.509696415	-43.215579329	908.5		
T	-22.509709589	-43.215984506	926.4		
T	-22.509664379	-43.216313442	933.1		
T	-22.509625235	-43.216840617	936.7		
T	-22.509606081	-43.217346214	939.6		
T	-22.509599093	-43.217701904	944.9		
T	-22.509636943	-43.217932825	948.9		
T	-22.509588846	-43.218196250	953.1		
T	-22.509614884	-43.218507531	959.3		
T	-22.509636108	-43.218892464	961.9		
T	-22.509574929	-43.219307636	958.6		
T	-22.509592540	-43.219628652	951.9		
T	-22.509533052	-43.220245928	936.4		
T	-22.509395105	-43.220615742	916.0		
T	-22.509396379	-43.221096383	901.0		
T	-22.509410728	-43.221423964	899.0		
T	-22.509471204	-43.221970073	902.2		
T	-22.509467926	-43.222386091	917.9		
T	-22.509513449	-43.222604456	921.6		
T	-22.509575779	-43.223007176	926.1		
T	-22.509590150	-43.223195352	929.1		
T	-22.509597470	-43.223392250	932.8		
T	-22.509616911	-43.223711274	936.4		
T	-22.509638751	-43.224027019	936.4		
T	-22.509661499	-43.224341362	938.0		
T	-22.509707822	-43.224762236	941.4		
T	-22.509734881	-43.225000974	942.4		
T	-22.509732113	-43.225280842	952.6		
T	-22.509824358	-43.225636173	964.5		
T	-22.509832416	-43.225969418	975.1		
T	-22.509850673	-43.226219380	980.7		
T	-22.509919705	-43.226535076	987.6		
T	-22.509963139	-43.226817158	997.2		
T	-22.510006480	-43.227098668	1005.1		
T	-22.510054174	-43.227579335	1006.0		
T	-22.510034427	-43.227952942	995.3		
T	-22.509982224	-43.228583717	971.2		
T	-22.509978704	-43.228796581	964.5		
T	-22.509901072	-43.229401015	944.5		
T	-22.509843540	-43.229907293	928.7		
T	-22.509882817	-43.230335272	924.8		
T	-22.509907291	-43.230715937	924.0		
T	-22.509902500	-43.231143345	927.9		
T	-22.509917024	-43.231329578	930.4		
T	-22.509947572	-43.231840816	932.9		
T	-22.509969651	-43.232225095	931.9		
T	-22.509981666	-43.232415680	933.0		
T	-22.510012345	-43.232716185	935.5		
T	-22.510046474	-43.233079947	940.2		
T	-22.510060858	-43.233336097	940.6		
T	-22.510038182	-43.233698159	945.7		
T	-22.510014657	-43.233991316	953.8		
T	-22.510088923	-43.234284242	965.3		
T	-22.510087992	-43.234537154	974.9		
T	-22.510071930	-43.234745600	982.0		
T	-22.509942433	-43.234981354	981.1		
T	-22.509902666	-43.235301314	978.1		
T	-22.509761046	-43.235628850	973.4		
T	-22.509667576	-43.235972237	964.1		
T	-22.509391873	-43.236123529	951.9		
T	-22.509241390	-43.235903910	950.4		
T	-22.509170281	-43.235716948	949.6		
T	-22.509166878	-43.235301736	949.1		
T	-22.509149694	-43.234909937	951.0		
T	-22.509130922	-43.234591495	958.0		
T	-22.509163978	-43.234255625	961.0		
T	-22.509108506	-43.233928149	955.0		
T	-22.509039395	-43.233691412	947.0		
T	-22.509004067	-43.233468669	941.3		
T	-22.508982856	-43.233222823	939.2		
T	-22.509000758	-43.232844028	943.6		
T	-22.509099545	-43.232129042	962.1		
T	-22.509088860	-43.231797941	967.7		
T	-22.509085926	-43.231524639	972.8		
T	-22.509024753	-43.231183822	980.1		
T	-22.509009977	-43.230859880	980.0		
T	-22.508988847	-43.230406875	974.2		
T	-22.508961855	-43.230101267	969.1		
T	-22.508843265	-43.229639059	970.6		
T	-22.508735931	-43.229158813	979.8		
T	-22.508765830	-43.228908081	985.5		
T	-22.508783087	-43.228261706	994.7		
T	-22.508697903	-43.228025899	993.7		
T	-22.508646146	-43.227547442	988.2		
T	-22.508635696	-43.227148597	992.0		
T	-22.508668371	-43.226690123	1001.8		
T	-22.508695374	-43.226447187	1008.1		
T	-22.508701141	-43.225959697	1011.9		
T	-22.508671273	-43.225656906	1010.7		
T	-22.508625476	-43.225238481	1004.3		
T	-22.508616581	-43.224907544	997.7		
T	-22.508592119	-43.224392081	996.2		
T	-22.508497729	-43.223827897	989.7		
T	-22.508502213	-43.223550695	979.9		
T	-22.508424533	-43.223235749	962.7		
T	-22.508333453	-43.222866725	939.8		
T	-22.508244031	-43.222562369	925.7		
T	-22.508150276	-43.222123507	905.6		
T	-22.508086515	-43.221784645	891.2		
T	-22.508093085	-43.221498138	882.6		
T	-22.508039956	-43.221214093	875.7		
T	-22.508002199	-43.220704376	866.0		
T	-22.507972611	-43.220116297	865.1		
T	-22.507959757	-43.219785396	867.7		
T	-22.508016828	-43.219371621	872.7		
T	-22.508004314	-43.218903167	873.9		
T	-22.508029801	-43.218463515	878.2		
T	-22.508071785	-43.217998460	883.1		
T	-22.508038962	-43.217621025	874.3		
T	-22.508040403	-43.217333871	866.9		
T	-22.507990834	-43.217040564	859.8		
T	-22.507954046	-43.216733778	853.1		
T	-22.507982929	-43.216280180	849.3		
T	-22.507964770	-43.215748125	857.2		
T	-22.508026074	-43.215263983	864.6		
T	-22.508013266	-43.214728513	857.9		
T	-22.508039754	-43.214345187	853.4		
T	-22.508015762	-43.213870281	846.0		
T	-22.508045766	-43.213414378	840.8		
T	-22.508093610	-43.213010995	843.0		
T	-22.508109632	-43.212723804	848.2		
T	-22.508131505	-43.212500259	850.8		
T	-22.508185606	-43.211956190	846.1		
T	-22.508188614	-43.211728103	842.0		
T	-22.508233180	-43.211533101	840.5		
T	-22.508217177	-43.211000673	843.1		
T	-22.508270448	-43.210390365	847.5		
T	-22.508321910	-43.209985459	851.6		
T	-22.508383512	-43.209641618	858.0		
T	-22.508389297	-43.209298343	862.5		
T	-22.508419552	-43.208843198	857.5		
T	-22.508427603	-43.208335065	846.3		
T	-22.508373969	-43.207899266	844.8		
T	-22.508384095	-43.207320193	840.4		
T	-22.508420640	-43.206858631	834.0		
